video_type,video_count,total_views,avg_views_per_video,total_revenue_usd,avg_revenue_per_video,avg_engagement_rate,videos_with_isrc,isrc_percentage
Music Content,674,166856769,247561.97,417141.92,618.9,7.0,0,0.0
Official Music Video,63,65086828,1033124.25,162717.07,2582.81,2.71,0,0.0
Official Audio,90,12521356,139126.18,31303.39,347.82,2.76,0,0.0
Lyric Video,45,12037736,267505.24,30094.34,668.76,3.79,0,0.0
Music Video,10,6346605,634660.5,15866.51,1586.65,1.59,0,0.0
Remix,3,3184638,1061546.0,7961.59,2653.86,5.15,0,0.0
Visualizer,10,1969416,196941.6,4923.54,492.35,3.56,0,0.0
Live Performance,28,1716516,61304.14,4291.29,153.26,4.39,0,0.0
Behind The Scenes,5,62938,12587.6,157.34,31.47,5.15,0,0.0
