artist_name,total_videos,total_views,total_likes,total_comments,total_est_revenue_usd,videos_with_isrc,avg_engagement_rate,isrc_percentage,revenue_per_video
Flyana Boss,297,162894423,3339682,126117,407236.06,0,inf,0.0,1371.17
BiC Fizzle,97,56282307,839219,14114,140705.77,0,3.06,0.0,1450.57
Cobrah,77,30174423,389244,11147,75436.06,0,4.08,0.0,979.69
hicorook,360,24837568,838272,43503,62093.92,0,7.05,0.0,172.48
Raiche,110,7754383,91554,5482,19385.96,0,4.02,0.0,176.24
re6ce,38,4020518,84537,3680,10051.3,0,2.95,0.0,264.51
COBRAH,2,34476,2378,95,86.19,0,7.07,0.0,43.1
No loses,14,1215,43,5,3.04,0,5.44,0.0,0.22
