artist_name,date,active_videos,total_views,total_likes,total_comments,total_revenue_usd,avg_engagement_rate,videos_with_isrc,prev_views,prev_revenue,daily_views_growth,daily_revenue_growth,year,month,week
BiC Fizzle,2025-09-12,95,50019129,784952,13608,125047.8225,3.315705273848606,0,,,0.0,0.0,2025,9,37
BiC Fizzle,2025-09-14,95,50124080,786025,13621,125310.2,3.192535695406472,0,50019129.0,125047.8225,0.2098217264039124,0.20982172640391425,2025,9,37
COBRAH,2025-09-12,60,23424165,335743,9396,58560.4125,4.081171098930689,0,,,0.0,0.0,2025,9,37
COBRAH,2025-09-14,60,23533887,336180,9405,58834.7175,4.0737931196724135,0,23424165.0,58560.4125,0.46841370866368126,0.4684137086636818,2025,9,37
Corook,2025-09-15,344,23694477,795623,41454,59236.1925,7.310141619352768,0,,,0.0,0.0,2025,9,38
Flyana Boss,2025-09-12,283,161258781,3320552,126427,403146.9525,6.632339758334269,0,,,0.0,0.0,2025,9,37
Flyana Boss,2025-09-14,283,161277311,3321123,126425,403193.27749999997,6.62825764932818,0,161258781.0,403146.9525,0.011490847124783859,0.011490847124772309,2025,9,37
Raiche,2025-09-15,110,7626601,90255,5426,19066.5025,4.260462167361926,0,,,0.0,0.0,2025,9,38
re6ce,2025-09-14,36,3526446,77648,3490,8816.115,3.2718574926938078,0,,,0.0,0.0,2025,9,37
